definition	k	reference	recomputed	absolute_difference	passed
any_saccharide	5	0.76923076923076927	0.76923076923076927	0	True
any_saccharide	10	0.76615384615384607	0.76615384615384607	0	True
any_saccharide	20	0.74948717948717947	0.74948717948717947	0	True
pure_saccharide	5	0.92923076923076919	0.92923076923076919	0	True
pure_saccharide	10	0.93000000000000005	0.93000000000000005	0	True
pure_saccharide	20	0.92576923076923079	0.92576923076923068	1.1102230246251565e-16	True
