representation	variance_fraction	n_PCs
A	0.5	2
A	0.75	3
A	0.80000000000000004	3
A	0.90000000000000002	5
A	0.94999999999999996	5
B	0.5	2
B	0.75	3
B	0.80000000000000004	4
B	0.90000000000000002	5
B	0.94999999999999996	6
