definition	k	positive_BGCs	prevalence	self_excluded_null_expectation	A_precision	B_precision	A_fold_enrichment	B_fold_enrichment	A_enrichment_percentage_points	B_enrichment_percentage_points	B_minus_A_precision	B_minus_A_percentage_points	median_paired_difference	paired_bootstrap_CI_low	paired_bootstrap_CI_high	median_bootstrap_CI_low	median_bootstrap_CI_high	fraction_queries_B_better	fraction_queries_equal	fraction_queries_B_worse	A_null_mean	A_null_sd	A_empirical_p	A_z_score	B_null_mean	B_null_sd	B_empirical_p	B_z_score
any_saccharide	5	195	0.077937649880095924	0.07756897241103558	0.76923076923076927	0.70666666666666678	9.8698224852071004	9.0670769230769235	69.129311935067335	62.872901678657087	-0.062564102564102567	-6.2564102564102564	0	-0.1005128205128205	-0.026666666666666661	0	0	0.10256410256410256	0.66153846153846152	0.23589743589743589	0.077510461538461556	0.010588658196679614	9.9990000999900015e-05	65.326530977193784	0.077561641025641032	0.010633959668786193	9.9990000999900015e-05	59.159997332661931
any_saccharide	10	195	0.077937649880095924	0.07756897241103558	0.76615384615384607	0.69025641025641027	9.8303431952662716	8.8565207100591721	68.821619627375014	61.231876037631437	-0.075897435897435903	-7.5897435897435903	0	-0.10871794871794874	-0.043589743589743588	0	0	0.13333333333333333	0.49230769230769234	0.37435897435897436	0.077524256410256412	0.0078085641877686006	9.9990000999900015e-05	88.189015699232485	0.077524205128205126	0.0077721787896221388	9.9990000999900015e-05	78.836607045936788
any_saccharide	20	195	0.077937649880095924	0.07756897241103558	0.74948717948717947	0.67615384615384611	9.6164970414201179	8.6755739644970404	67.154952960708357	59.821619627375021	-0.073333333333333334	-7.333333333333333	0	-0.1058974358974359	-0.041794871794871805	-0.049999999999999989	0	0.17435897435897435	0.36923076923076925	0.4564102564102564	0.077530871794871808	0.0058238146701485522	9.9990000999900015e-05	115.38078488942843	0.077574512820512836	0.0058665159250281384	9.9990000999900015e-05	102.03318988356146
any_saccharide	50	195	0.077937649880095924	0.07756897241103558	0.72246153846153849	0.6308717948717949	9.2697372781065095	8.0945704142011845	64.452388858144261	55.293414499169899	-0.091589743589743602	-9.1589743589743602	-0.039999999999999994	-0.12348717948717948	-0.061333333333333337	-0.040000000000000036	-0.020000000000000018	0.16923076923076924	0.1076923076923077	0.72307692307692306	0.07753134358974359	0.0042803296397786236	9.9990000999900015e-05	150.67302033895464	0.077571723076923074	0.0042286697098832485	9.9990000999900015e-05	130.84494882674301
pure_saccharide	5	130	0.051958433253397281	0.051579368252698918	0.92923076923076919	0.82307692307692304	17.884118343195265	15.841065088757396	87.727233597737182	77.111848982352569	-0.10615384615384615	-10.615384615384615	0	-0.14773076923076922	-0.064615384615384616	0	0	0.046153846153846156	0.67692307692307696	0.27692307692307694	0.051537230769230766	0.01080989426609374	9.9990000999900015e-05	81.193535927035626	0.051597846153846161	0.01077378081697015	9.9990000999900015e-05	71.607088544802565
pure_saccharide	10	130	0.051958433253397281	0.051579368252698918	0.93000000000000005	0.81153846153846154	17.898923076923079	15.618994082840237	87.804156674660277	75.958002828506423	-0.11846153846153845	-11.846153846153845	0	-0.15999999999999998	-0.078461538461538458	-0.099999999999999978	0	0.061538461538461542	0.51538461538461533	0.42307692307692307	0.051596230769230769	0.0078208792416359849	9.9990000999900015e-05	112.31521956692727	0.051573307692307682	0.0078064131875554294	9.9990000999900015e-05	97.351387325699079
pure_saccharide	20	130	0.051958433253397281	0.051579368252698918	0.92576923076923068	0.79269230769230759	17.817497041420118	15.256278106508875	87.381079751583329	74.073387443891022	-0.13307692307692309	-13.30769230769231	-0.050000000000000044	-0.1734615384615385	-0.093846153846153857	-0.050000000000000044	-0.050000000000000044	0.061538461538461542	0.29230769230769232	0.64615384615384619	0.051571923076923078	0.0057393598313442663	9.9990000999900015e-05	152.31616998782147	0.051613923076923071	0.0057596732509370922	9.9990000999900015e-05	128.66674068616859
pure_saccharide	50	130	0.051958433253397281	0.051579368252698918	0.92507692307692324	0.74476923076923074	17.804172781065091	14.333943195266272	87.311848982352586	69.281079751583334	-0.18030769230769231	-18.030769230769231	-0.099999999999999978	-0.21861923076923079	-0.14292307692307693	-0.12	-0.099999999999999978	0.061538461538461542	0.030769230769230771	0.90769230769230769	0.051553046153846163	0.0040392967567519748	9.9990000999900015e-05	216.25642519651944	0.051615615384615385	0.0040060534151131425	9.9990000999900015e-05	173.02655345773485
