definition	k	n_positive	n_total	precision_at_k	global_prevalence	fold_over_prevalence	excess_percentage_points	self_excluded_null_prevalence
any_saccharide	5	195	2502	0.7692307692307693	0.07793764988009592	9.8698224852071	69.12931193506734	0.07756897241103558
any_saccharide	10	195	2502	0.7661538461538461	0.07793764988009592	9.830343195266272	68.82161962737501	0.07756897241103558
any_saccharide	20	195	2502	0.7494871794871795	0.07793764988009592	9.616497041420118	67.15495296070836	0.07756897241103558
pure_saccharide	5	130	2502	0.9292307692307692	0.05195843325339728	17.884118343195265	87.72723359773718	0.05157936825269892
pure_saccharide	10	130	2502	0.93	0.05195843325339728	17.89892307692308	87.80415667466028	0.05157936825269892
pure_saccharide	20	130	2502	0.9257692307692307	0.05195843325339728	17.81749704142012	87.38107975158333	0.05157936825269892
