metric	n	mean	median	sd	minimum	maximum	q25	q75	p05	p95
augmentation_cross_term	12510	0.44063692893069395	0.20768118219408743	0.77526842775422411	-2.0350173874136193	12.184674424379722	0.062731921250588199	0.53001371219470672	-0.051771579011356303	1.7196101511220256
augmentation_deviation_cosine	12510	0.55914824411854547	0.66297306640275311	0.35971708073588038	-0.8969542562438152	0.99515639796365596	0.36711249409328173	0.84303911671134246	-0.18142444239214678	0.9496831021276031
per_BGC_mean_cross_term	2502	0.44063692893069395	0.28005757409807996	0.5057504121580062	-0.22243646431154004	5.0345846883704182	0.12409726525343605	0.57418502769460211	0.027537122597457428	1.4053644914754144
per_BGC_variance_reduction_fraction	2502	-0.19750891923084568	-0.15163634813591143	0.16462678840147374	-0.921204008103369	0.23737472263683609	-0.28239264709433654	-0.075214335630325077	-0.53536609670510904	-0.015313132463420517
