comparison	metric	n_BGC	mean_difference	median_difference	mean_ci95_low	mean_ci95_high	median_ci95_low	median_ci95_high	fraction_improved	fraction_equal	fraction_worsened
B - A	mean_pairwise_cosine	2502	-0.064871827418598968	-0.027386168121143195	-0.068624622935306398	-0.061205680227474635	-0.030969975180468366	-0.02512673714123892	0.16626698641087131	0	0.83373301358912866
B - A	min_pairwise_cosine	2502	-0.12611593736730833	-0.057479291669015997	-0.13322587640562597	-0.11908506137750975	-0.063615481093010851	-0.0508427467627941	0.1882494004796163	0	0.81175059952038364
N - A	mean_pairwise_cosine	2502	-0.00056679655020078147	-0.00033025690994620271	-0.00084297768618531274	-0.00029218137432782376	-0.00042497079612985046	-0.00025073306060419132	0.41726618705035973	0	0.58273381294964033
N - A	min_pairwise_cosine	2502	-0.0018286121214147611	-0.00077887349197869327	-0.0025529636605824413	-0.0011228556232325006	-0.00098402077605364013	-0.0005822215774488773	0.41247002398081534	0	0.58752997601918466
N - B	mean_pairwise_cosine	2502	0.064305030868398186	0.026506531757864549	0.060514795861490951	0.068072895959374546	0.023820500229318142	0.030426395263427164	0.79136690647482011	0	0.20863309352517986
N - B	min_pairwise_cosine	2502	0.12428732524589356	0.05546394061520904	0.11695356758903594	0.13188413806993879	0.049381589199520404	0.06217040622177461	0.77018385291766589	0	0.22981614708233414
