x	y	n_BGC	spearman_rho	p_value	absolute_rho
core_gene_count	A_mean_pairwise_cosine	2502	0.23394983390440718	1.8803978272595126e-32	0.23394983390440718
core_gene_count	B_mean_pairwise_cosine	2502	0.29205349330449965	2.1716728812405352e-50	0.29205349330449965
core_gene_count	N_mean_pairwise_cosine	2502	0.22521261519535007	3.8872693933971384e-30	0.22521261519535007
core_gene_count	A_minus_B_stability	2502	-0.22284192687944604	1.5895473163936244e-29	0.22284192687944604
noncore_position_count	A_minus_B_stability	2502	0.22284192687944604	1.5895473163936244e-29	0.22284192687944604
core_gene_count	mean_cross_term	2502	0.33787672761679011	7.353968367501644e-68	0.33787672761679011
core_gene_count	variance_reduction_fraction_from_cross	2502	-0.80049699359995341	0	0.80049699359995341
core_gene_count	noncore_fraction_of_uncoupled_energy	2502	-0.93140235541295813	0	0.93140235541295813
mean_cross_term	A_minus_B_stability	2502	0.24562213426449001	1.0692124975458115e-35	0.24562213426449001
variance_reduction_fraction_from_cross	A_minus_B_stability	2502	0.025730557845508435	0.19822947241192682	0.025730557845508435
