core_gene_count_bin	n_BGC	median_core_count	median_A_mean_pairwise_cosine	median_B_mean_pairwise_cosine	median_N_mean_pairwise_cosine	median_mean_cross_term	median_variance_reduction_fraction_from_cross	median_noncore_fraction_of_uncoupled_energy	median_A_minus_B_stability	fraction_BGC_negative_mean_cross
21-40	573	27	0.96807474114167369	0.94207948226425575	0.9679412397139755	0.41231126372081234	-0.34773950819953803	0.88670216967848414	0.020621264524696925	0.015706806282722512
6-10	611	8	0.95813287339894371	0.90704305940789887	0.95652083863062098	0.21409308797281654	-0.10289913163561386	0.99285499702164515	0.03228137644182727	0.0098199672667757774
1-5	443	4	0.93343709965998867	0.8235000867397384	0.93352840175196261	0.12568311468429144	-0.043111334093125862	0.99852394352820373	0.078418824491529149	0.024830699774266364
11-20	732	14	0.96683114994410702	0.93503860809743367	0.96556923433860042	0.32175547136645882	-0.19185530335057693	0.97368626125861801	0.021687923548379673	0.01912568306010929
41-80	137	48	0.97490541876244752	0.95806741499359271	0.97015026433392859	0.36114362938591671	-0.45984007492738049	0.59854208100879713	0.015907878549006882	0
81-127	6	105	0.9912097781474184	0.99005330070345487	0.9827327749288608	0.059108806847081696	-0.21151962869255028	0.1014636883944077	0.00062684559166098497	0.16666666666666666
